url,Nearby,Dimensions,Price,Address,Possession,Floors Allowed For Construction,Overlooking,Area,Configuration,Floor Number,Facing,Property Age
https://www.99acres.com/suncity-avenue-76-sector-76-gurgaon-npxid-r343747,[],,,,,,,,,,,
https://www.99acres.com/residential-land-plot-for-sale-in-sector-43-gurgaon-161-sq-yard-r1-spid-M56741414,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'Huda city centre metro station', 'Hanuman Mandir', 'New Life Church']","Plot area 161
(134.62 sq.m.)  
sq.yards","₹ 2.7 Crore+ Govt Charges & Tax
@ 1,67,701 per sq.yards (Negotiable) View Price Details","Sector-43 Gurgaon, Gurgaon",Immediate,4 Floors,Park/Garden,,,,,
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-1-gurgaon-4590-sq-ft-spid-D60412652,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikandarpur metro station']",,"₹ 4.5 Crore+ Govt Charges & Tax
@ 9,803 per sq.ft. View Price Details","NORTH FACING
DLF CITY PHASE 1, Gurgaon",,,"Park/Garden,Main Road,Club,Sea facing","Carpet area: 4590
(426.42 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room,Others",3rd   of 4 Floors,North,0 to 1 Year Old
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-2-gurgaon-4589-sq-ft-spid-R60529690,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Shri Shiv Shakthi Mandir']",,"₹ 5 Crore+ Govt Charges & Tax
@ 10,895 per sq.ft. (All inclusive, Negotiable) View Price Details","East Facing
DLF CITY PHASE 2, Gurgaon",,,"Park/Garden,Main Road,Club,Pool,Others","Carpet area: 4589
(426.33 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room",4th   of 4 Floors,North-East,0 to 1 Year Old
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-dlf-city-phase-2-gurgaon-2700-sq-ft-spid-Y60529298,"['Vodafone Belvedere Towers', 'Dlf phase 2 metro station', 'DLF Phase 3', 'IndusInd Bank Cyber City', 'Sikandarpur metro station']",,"₹ 3 Crore+ Govt Charges & Tax
@ 11,111 per sq.ft. (All inclusive) View Price Details","DLF Phase 2
DLF CITY PHASE 2, Gurgaon",,,"Park/Garden,Main Road,Others","Super Built up area 2700
(250.84 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Others",2nd   of 4 Floors,North-East,0 to 1 Year Old
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-2-gurgaon-3640-sq-ft-spid-K60529164,"['Vodafone belvedere towers metro station', 'Dlf phase 2 metro station', 'Dlf phase 3 metro station', 'Shri Shiv Shakthi Mandir']",,"₹ 4.5 Crore+ Govt Charges & Tax
@ 12,362 per sq.ft. View Price Details","DUPLEX TOP FLOOR
DLF CITY PHASE 2, Gurgaon",,,Park/Garden,"Carpet area: 3640
(338.17 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room,Others",4th   of 4 Floors,East,0 to 1 Year Old
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-2-gurgaon-2700-sq-ft-spid-D60519794,"['Vodafone Belvedere Towers', 'DLF Phase 3', 'IndusInd Bank Cyber City', 'Shri Shiv Shakthi Mandir', 'Jain Bhawan', 'Arya Samaj Mandir']",,"₹ 3.1 Crore+ Govt Charges & Tax
@ 1,03,333 per sq.yards (All inclusive) View Price Details","Superb Construction Ultra Luxury
DLF CITY PHASE 2, Gurgaon",,,Park/Garden,"Super Built up area 300
(250.84 sq.m.)  
sq.yards","4 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room",1st   of 4 Floors,North,0 to 1 Year Old
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-1-gurgaon-4590-sq-ft-spid-E61345952,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikandarpur metro station']",,"₹ 5 Crore+ Govt Charges & Tax
@ 10,893 per sq.ft. (All inclusive, Negotiable) View Price Details","DLF CITY PHASE 1, Gurgaon",,,"Park/Garden,Main Road,Club,Pool,Others","Carpet area: 4590
(426.42 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3+ Balconies with Pooja Room,Study Room,Servant Room,Others",4th   of 4 Floors,North,0 to 1 Year Old
https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-1-gurgaon-3618-sq-ft-spid-A61123946,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikandarpur metro station']",,"₹ 3.95 Crore+ Govt Charges & Tax
@ 10,917 per sq.ft. View Price Details","Corner
DLF CITY PHASE 1, Gurgaon",,,"Park/Garden,Main Road,Club,Others,Sea facing","Carpet area: 3618
(336.12 sq.m.)  
sq.ft.","4 Bedrooms , 5 Bathrooms, 3 Balconies with Pooja Room,Study Room,Servant Room,Others",2nd   of 4 Floors,East,0 to 1 Year Old
https://www.99acres.com/5-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-city-phase-1-gurgaon-5900-sq-ft-spid-J61084196,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikandarpur metro station']",,"₹ 5 Crore+ Govt Charges & Tax
@ 8,474 per sq.ft. (All inclusive, Negotiable) View Price Details","Duplex Top Floor Terrace Garden
DLF CITY PHASE 1, Gurgaon",,,"Pool,Park/Garden,Club,Others","Carpet area: 5900
(548.13 sq.m.)  
sq.ft.","5 Bedrooms , 6 Bathrooms, 3+ Balconies with Pooja Room,Store Room,Study Room,Servant Room",4th   of 4 Floors,North,0 to 1 Year Old
