url,Bedrooms,Bathrooms,Balconies,Servant Room,Super area,Carpet area,Loading,Developer,Project,Status,Transaction type,Floor,Car parking,Price Breakup,,Facilities,Address,Landmarks,Facing,RERA ID,Overlooking,Flooring,Water Availability,Status of Electricity,Lift,Age of Construction,Furnishing,Authority Approval,Type of Ownership,Brokerage Response,Loan Offered by,Amenities,PRICE,CONFIGURATION,TOWER & UNIT DETAILS,STATUS,Store Room,TOWER,Balcony,Study Room,Puja Room,Plot area,Furnished status,Units Available,Floors allowed for construction,UNIT DETAILS,Lifts,Bathroom
https://www.magicbricks.com/propertyDetails/3-BHK-2200-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-Sector-6-Pocket-1-in-New-Delhi&id=4d423537363336373939,,,,,3 See Dimensions,4,3,1,2200 sqft,1700 sqft,22%,Cooperative Group Housing Society,Skylark Apartment,Ready to Move,,4 (Out of 10 Floors),"1 Covered, 1 Open","₹ 1.96 Cr ₹ 13,71,986 Stamp Duty, Registration Charges ₹ 3,000 Monthly
See Other Charges",,"Power Back Up, Lift, Rain Water Harvesting, Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security, Water Storage, Service/Goods Lift, Visitor Parking, Intercom Facility, Maintenance Staff, Waste Disposal, Laundry Service, DTH Television Facility, Piped Gas, Jogging and Strolling Track","Dwarka Sector 6, New Delhi, Sector 6 Pocket 1 Dwarka, New Delhi - Dwarka, Delhi NCR",Near to Dwarka Spots Complex Sector 6,"North - East
Talk to our best Vastu Consultants to get instant solution. View Consultants",NA,"Garden/Park, Main Road",Marble,24 Hours Available,No/Rare Powercut,2,5 to 10 years,Semi-Furnished,Freehold,"₹ 1.75 Cr - ₹ 2.25 Cr
₹ 8,909 - ₹ 10,750 per sqft",3 BHK Flats,"9 Towers , 250 Units",Ready to Move,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1300-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-in-New-Delhi&id=4d423539373631363033,,Free Property Valuation,,,2 See Dimensions,2,2,,1,1300 sqft,1100 sqft,15%,SFS Sector 9 Pocket 1 Dwarka,Ready to Move,,2 (Out of 4 Floors),2 Open,"₹ 1.20 Cr ₹ 8,39,930 Stamp Duty, Registration Charges ₹ 400 Monthly
See Other Charges",,,"Power Back Up, Park, Intercom Facility, Maintenance Staff, DTH Television Facility, Piped Gas","Flat No 000 DDA SFS Flats Pocket 1 Sector 9 Dwarka New Delhi 110075, Dwarka, New Delhi - Dwarka, Delhi NCR",The property is within walking distance from fumes schools,"East
Talk to our best Vastu Consultants to get instant solution. View Consultants",Garden/Park,Mosaic,24 Hours Available,No/Rare Powercut,None,,,,Call for Price,,,Ready to Move,,1 Tower,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarita-Vihar-Pocket-F-in-New-Delhi&id=4d423531363732353039,,Free Property Valuation,,,2 See Dimensions,2,1,1,1000 sqft,900 sqft,10%,Delhi Development Authority DDA,DDA Flats,Ready to Move,,3 (Out of 4 Floors),1 Open,"₹ 91.0 Lac ₹ 6,37,000 Stamp Duty, Registration Charges ₹ 400 Monthly
See Other Charges",,,"Lift, Park, Reserved Parking, Security, Water Storage, Visitor Parking, Maintenance Staff, Waste Disposal, Laundry Service, DTH Television Facility, Jogging and Strolling Track","Sarita Vihar, New Delhi, Sarita Vihar Pocket F, New Delhi - South, Delhi NCR",Near to the market.,"North - East
Talk to our best Vastu Consultants to get instant solution. View Consultants",Garden/Park,Mosaic,24 Hours Available,No/Rare Powercut,None,10 to 15 years,,Delhi Development Authority,"₹ 91.0 Lac - ₹ 1.95 Cr
₹ 7,706 - ₹ 11,613 per sqft","2,3,4 BHK Flats","15 Towers , 400 Units",Ready to Move,,,,,,,,,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-1600-Sq-ft-Multistorey-Apartment-FOR-Sale-Sri-Aurobindo-Marg-in-New-Delhi-r1&id=4d423537343737393237,,,,,2 See Dimensions,2,1,1,1600 sqft,1400 sqft,12%,Delhi Development Authority DDA,DDA Azad Apartment,Ready to Move,,1 (Out of 7 Floors),"1 Covered, 1 Open","₹ 2.40 Cr ₹ 16,80,000 Stamp Duty, Registration Charges ₹ 2,000 Monthly
See Other Charges",,,"Power Back Up, Lift, Park, Reserved Parking, Security, Water Storage, Service/Goods Lift, Air Conditioned, Visitor Parking, Maintenance Staff, Waste Disposal, RO Water System, Piped Gas","New Delhi, Sri Aurobindo Marg, New Delhi - South, Delhi NCR",mother international school,"North
Talk to our best Vastu Consultants to get instant solution. View Consultants","Garden/Park, Main Road",Marble,24 Hours Available,No/Rare Powercut,2,,,Delhi Development Authority,Call for Price,,"6 Towers , 200 Units",Ready to Move,,,,10 to 15 years,,,,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1600-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Freedom-Fighters-Vihar-in-New-Delhi&id=4d423530363632353138,,Free Property Valuation,,,3 See Dimensions,2,1,,,1600 sqft,1400 sqft,12%,1600 sqft,Semi-Furnished,No/Rare Powercut,Power Of Attorney,North,"₹ 65.0 Lac ₹ 4,55,000 Approx. Registration Charges ₹ 500 Monthly
See Other Charges",1 Covered,,,"Power Back Up, Lift, Park, Reserved Parking, Security, Water Storage, Vaastu Compliant, Service/Goods Lift, Air Conditioned, Visitor Parking, Maintenance Staff, Waste Disposal, RO Water System, Piped Gas","Block D Freedom Fighters Enclave New Delhi, Freedom Fighters Vihar, New Delhi - South, Delhi NCR",Nearby Saket Metro Station,"Garden/Park, Main Road","Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Marbonite",24 Hours Available,,3 (Out of 4 Floors),,,,,,,,,,,,,1,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-730-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Uttam-Nagar-West-in-New-Delhi&id=4d423534323437363231,,Free Property Valuation,,,,3 See Dimensions,2,,,730 sqft,710 sqft,2%,1300 sqft,Semi-Furnished,Semi-Furnished,Freehold,East,"₹ 36.5 Lac ₹ 2,55,500 Approx. Registration Charges ₹ 200 Monthly
See Other Charges",1 Covered,,,"Power Back Up, Lift, Reserved Parking, Vaastu Compliant, Service/Goods Lift, Intercom Facility","Uttam Nagar, New Delhi., Uttam Nagar West, New Delhi - West, Delhi NCR",near uttam nagar west metro station.,Main Road,Vitrified,No/Rare Powercut,1,1 (Out of 4 Floors),New Construction,2,,,,,,,,,,,1,Ready to Move,24 Hours Available,,,,
https://www.magicbricks.com/propertyDetails/2-BHK-80-Sq-yrd-Builder-Floor-Apartment-FOR-Sale-Janakpuri-in-New-Delhi&id=4d423533383733333139,,Free Property Valuation,,,,2 See Dimensions,2,,,80 sqyrd,72 sqyrd,10%,80 sqyrd,Semi-Furnished,1,Freehold,South,"₹ 1.10 Cr ₹ 7,70,000 Approx. Registration Charges ₹ 1,000 Monthly
See Other Charges","1 Covered, 1 Open",,,"Power Back Up, Lift, Rain Water Harvesting, Park, Reserved Parking, Security, Water Storage, Service/Goods Lift, Visitor Parking, Intercom Facility, Waste Disposal, DTH Television Facility, Piped Gas","Janakpuri, Janakpuri, New Delhi - West, Delhi NCR",Janakpuri,"Garden/Park, Main Road",Marble,24 Hours Available,No/Rare Powercut,Ground (Out of 4 Floors),,,,,,,,,,,,,1,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-850-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Rohini-Sector-24-in-New-Delhi-r4&id=4d423534363835303139,,Free Property Valuation,,,,3 See Dimensions,2,,,850 sqft,750 sqft,11%,850 sqft,Semi-Furnished,3,Freehold,North,"₹ 73.0 Lac ₹ 5,11,000 Approx. Registration Charges
See Other Charges","1 Covered, 1 Open",,,"Lift, Park, Reserved Parking, Security, Water Storage, Service/Goods Lift, Visitor Parking, Intercom Facility, Waste Disposal, Piped Gas","Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",Near by the sovereign school,"Garden/Park, Main Road","Marble, Normal Tiles/Kotah Stone",No/Rare Powercut,1,1 (Out of 4 Floors),,New Construction,,,,,,,,,,,1,Ready to Move,24 Hours Available,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-1200-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Kailash-hills-in-New-Delhi&id=4d423534333339383133,,,,,3 See Dimensions,3,2,,,1200 sqft,1000 sqft,16%,1260 sqft,Semi-Furnished,No/Rare Powercut,Freehold,North - East,"₹ 1.95 Cr ₹ 13,65,000 Approx. Registration Charges ₹ 2,000 Monthly
See Other Charges",1 Covered,,,"Lift, Park, Reserved Parking, Security, Water Storage, Private Terrace/Garden, Vaastu Compliant, Air Conditioned, Visitor Parking, Intercom Facility, Waste Disposal, RO Water System, Piped Gas","Kailash hills New Delhi, Kailash hills, New Delhi - South, Delhi NCR",Nearby Iskcon Temple,"Garden/Park, Main Road","Wooden, Ceramic Tiles, Marble, Normal Tiles/Kotah Stone, Granite",24 Hours Available,,3 (Out of 4 Floors),,,,,,,,,,,,,1,Ready to Move,,,,,
https://www.magicbricks.com/propertyDetails/3-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Uttam-Nagar-in-New-Delhi&id=4d423438353433353637,,Free Property Valuation,,,,,,3,2,1,750 sqft,,Partap Builders,Ready to Move,,,None,,,,,,Unfurnished,₹ 32.0 Lac,,,,,,,24 Hours Available,Unfurnished,"₹ 14.0 Lac - ₹ 60.0 Lac
₹ 3,500 - ₹ 5,714 per sqft","1,2,3 BHK Flats","4 Towers , 9 Units",Ready to Move,,,,,,,Partap Homes,,"Uttam Nagar, New Delhi - West, Delhi NCR",,,
