urls,url,Bedrooms,Bathrooms,Super area,Developer,Project,Status,Possession by,Transaction type,Car parking,Price Breakup,Unnamed: 12,Address,RERA ID,Water Availability,Status of Electricity,Lift,Furnishing,Loan Offered by,Amenities,Flooring,Floors allowed for construction,Furnished status,Carpet area,Loading,Floor,Car Parking,Bathroom,Facilities,Puja Room,Balconies,Landmarks,Facing,Overlooking,Age of Construction,Authority Approval,Type of Ownership,Brokerage Response,Units Available,Balcony,Lifts,Servant Room,Store Room,Plot area,Study Room,Unnamed: 46,Unnamed: 47,
,https://www.magicbricks.com/propertyDetails/2-BHK-666-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423538323433323235,2 See Dimensions,2.0,666 sqft,Govardhan Heights LLP,Govardhan Heights,Under Construction,Jun '23,"New Property
Free Legal Title Check",1 Covered,₹ 19.0 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2019/1041,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Reserved Parking
Power Back Up
Earth quake resistant
Park
Security
Lift",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-956-Sq-ft-Multistorey-Apartment-FOR-Sale-Mansarovar-Extension-in-Jaipur&id=4d423536383637323337,2,2.0,956 sqft,Platinum Group,Platinum Greens,Under Construction,Dec '23,"New Property
Free Legal Title Check",1 Covered,₹ 33.5 Lac,,"Mansarovar Extension, Jaipur, Rajasthan",RAJ/P/2021/1631,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Water treatment plant
CCTV Camera
Rain Water Harvesting
Retail Boulevard (Retail Shops)
Gymnasium
Indoor Games Room
View all Amenities",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-879-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423536363636363931,2 See Dimensions,2.0,879 sqft,Auric Infraprojects Ltd.,The Century Park,Under Construction,Jun '23,"New Property
Free Legal Title Check",1 Covered,₹ 26.5 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2021/1553,24 Hours Available,No/Rare Powercut,1,Semi-Furnished,,"Reserved Parking
Power Back Up
Earth quake resistant
Jogging and Strolling Track
Waste Disposal
Park
View all Amenities",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1041-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423630333833303533,2 See Dimensions,2.0,1041 sqft,Aradhana Buildtech Builders and Developers,Bhavyaa Green Luxuria,Under Construction,Dec '22,"New Property
Free Legal Title Check",1 Covered,₹ 37.0 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2021/1432,24 Hours Available,No/Rare Powercut,2,Semi-Furnished,,"Visitor Parking
Conference Room
Waste Disposal
Rain Water Harvesting
Service/Goods Lift
Water Storage
View all Amenities",Vitrified,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sirsi-Road-in-Jaipur&id=4d423532343632373037,2,2.0,750 sqft,Unnati Group and Tirupati Group,Unnati Nilay,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 24.0 Lac,,"Sirsi Road, Jaipur, Rajasthan",RAJ/P/2019/1099,24 Hours Available,No/Rare Powercut,1,Unfurnished,,"Visitor Parking
CCTV Camera
Rentable Community Space
Waste Disposal
Rain Water Harvesting
Water Storage
View all Amenities",,9.0,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1446-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423539343032333231,3 See Dimensions,2.0,,Kothari Build Developers,Rainbow,Under Construction,Apr '22,"New Property
Free Legal Title Check",1 Open,₹ 55.7 Lac,,"Vaishali Nagar, Jaipur, Rajasthan",RAJ/P/2021/1549,24 Hours Available,No/Rare Powercut,1,Semi-Furnished,,"Multipurpose Hall
Visitor Parking
Conference Room
Waste Disposal
Rain Water Harvesting
Water Storage
View all Amenities",Vitrified,6.0,,976 sqft,32%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1548-Sq-ft-Multistorey-Apartment-FOR-Sale-Vaishali-Nagar-in-Jaipur&id=4d423630323434303037,3 See Dimensions,2.0,,Samanvay Group,Atlantica,Under Construction,Dec '24,"New Property
Free Legal Title Check",1 Open,₹ 59.6 Lac,,"Vaishali Nagar, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,5,Semi-Furnished,,"Multipurpose Hall
Visitor Parking
Conference Room
Waste Disposal
Rain Water Harvesting
Service/Goods Lift
View all Amenities",Vitrified,,,1001 sqft,35%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-1231-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423530303533323734,2,2.0,1231 sqft,Ashiana Housing Ltd.,Vrinda Gardens,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 45.1 Lac,,"Jagatpura, Jaipur, Rajasthan",,24 Hours Available,No/Rare Powercut,,Unfurnished,,"Reserved Parking
Power Back Up
Swimming Pool
Park
Security
Gymnasium
View all Amenities",Vitrified,,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-901-Sq-ft-Multistorey-Apartment-FOR-Sale-Jhotwara-in-Jaipur&id=4d423539333337363737,2,2.0,901 sqft,Vardhman Group,The Horizon,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 27.9 Lac,,"Jhotwara, Jaipur, Rajasthan",RAJ/P/2017/338,24 Hours Available,No/Rare Powercut,4,Unfurnished,,"Meditation Area
Swimming Pool
Indoor Games Room
Gymnasium
Fire Fighting Equipment
Kids play area
View all Amenities",Vitrified,12.0,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/2-BHK-843-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423539363532343935,2,2.0,843 sqft,Wish Empire,Uma Aangan,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 26.0 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2017/233,24 Hours Available,No/Rare Powercut,,Unfurnished,,"Visitor Parking
Waste Disposal
Service/Goods Lift
Water Storage
Indoor Games Room
Gymnasium
View all Amenities","Vitrified, Marble",14.0,Unfurnished,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1193-Sq-ft-Multistorey-Apartment-FOR-Sale-Tonk-Road-in-Jaipur&id=4d423630363538303235,3 See Dimensions,3.0,,Okay Plus Group,Okay Plus Kanak Aangan,Under Construction,Aug '22,"New Property
Free Legal Title Check",1 Open,₹ 75.0 Lac,,"Tonk Road, Jaipur, Rajasthan",RAJ/P/2018/641,24 Hours Available,No/Rare Powercut,1,Unfurnished,,"Conference Room
Visitor Parking
Waste Disposal
Rain Water Harvesting
Water Storage
Gymnasium
View all Amenities","Vitrified, Wooden, Marble",,,1088 sqft,8%,,,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-1726-Sq-ft-Multistorey-Apartment-FOR-Sale-Jagatpura-in-Jaipur&id=4d423539343034303531,3,3.0,,Shiv Sital Builders Pvt. Ltd.,Times Residency,Under Construction,Dec '24,"New Property
Free Legal Title Check",,₹ 77.7 Lac,,"Jagatpura, Jaipur, Rajasthan",RAJ/P/2021/1706,24 Hours Available,No/Rare Powercut,2,Unfurnished,,"Multipurpose Hall
Conference Room
Rain Water Harvesting
Service/Goods Lift
Skydeck
Vaastu Compliant
View all Amenities","Vitrified, Wooden, Ceramic Tiles",13.0,,974 sqft,43%,2 (Out of 13 Floors),None,,,,,,,,,,,,,,,,,,,,,
,https://www.magicbricks.com/propertyDetails/3-BHK-630-Sq-ft-Multistorey-Apartment-FOR-Sale-Ajmer-Road-in-Jaipur&id=4d423539383137333131,3 See Dimension,3.0,,RK Builders & Developers,RK Residency,Ready to Move,,"New Property
Free Legal Title Check",None,₹ 54.5 Lac,,"Ajmer Road, Jaipur, Rajasthan",RAJ/P/2021/1752,24 Hours Available,No/Rare Powercut,1,Furnished,,"CCTV Camera
Security
Lift",,6.0,,430 sqft,31%,1 (Out of 6 Floors),,,,,,,,,,,,,,,,,,,,,,
