Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,1,1,2,1,0,67,9.0,1
2,0,1,2,2,0,21,9.0,2
2,1,1,2,1,0,27,9.0,4
3,0,1,3,1,0,250,9.0,4
2,1,1,2,1,0,41,4.0,4
3,1,1,2,1,0,325,4.0,4
2,1,1,2,1,0,210,4.0,4
3,0,2,3,1,0,310,9.0,4
2,1,1,2,1,0,56,7.0,4
3,2,0,2,15,0,210,6.0,15
3,1,1,3,3,1,100,7.0,3
2,1,1,2,1,1,34,4.0,4
2,0,0,2,1,0,24,6.0,4
3,1,1,3,1,0,310,9.0,1
3,2,1,2,9,0,172,9.0,9
3,2,1,2,2,0,158,5.0,2
2,2,0,2,3,0,127,5.0,3
2,1,1,2,24,0,245,6.0,24
3,2,2,4,0,0,400,9.0,0
3,1,2,3,40,0,350,6.0,40
3,3,2,3,2,0,600,3.0,2
2,0,1,2,1,0,23,9.0,1
2,1,1,2,1,0,46,2.0,1
3,1,0,2,1,0,33,9.0,1
3,2,2,4,3,0,440,6.0,3
3,0,1,2,2,0,48,9.0,2
2,0,2,2,1,0,25,9.0,1
3,2,1,2,1,0,110,7.0,1
3,2,1,3,0,0,290,9.0,0
3,1,0,2,2,0,165,4.0,2
2,2,1,2,3,0,159,5.0,3
3,4,1,3,3,0,735,10.0,3
3,1,1,2,1,0,64,4.0,1
2,1,1,2,1,0,23,9.0,1
3,3,1,3,16,0,265,9.0,16
3,2,2,2,1,0,40,5.0,1
3,1,0,2,1,0,67,10.0,1
3,2,1,2,1,0,95,7.0,1
3,3,1,2,1,0,235,6.0,4
3,1,1,2,1,0,46,6.0,1
3,0,0,2,5,0,295,5.0,5
3,1,1,2,3,0,46,8.0,3
3,2,1,3,1,0,70,8.0,1
2,0,1,2,4,0,94,6.0,4
3,2,1,4,1,0,825,10.0,1
3,0,2,2,0,0,220,6.0,0
2,1,2,2,13,0,275,5.0,13
3,0,1,3,2,0,200,6.0,2
3,2,0,2,5,0,182,9.0,5
2,0,1,2,1,0,26,9.0,1
3,2,0,2,1,0,220,7.0,1
3,2,0,2,1,0,60,9.0,1
2,1,1,2,1,0,32,10.0,1
3,1,1,2,1,0,40,8.0,1
3,0,1,2,1,0,85,5.0,1
3,0,2,2,2,0,70,7.0,2
3,5,1,4,3,0,505,8.0,3
3,3,1,3,8,0,160,5.0,8
2,1,1,2,0,0,140,6.0,0
3,2,1,3,2,0,155,3.0,2
3,3,1,3,4,0,275,4.0,4
3,2,2,3,10,0,160,4.0,10
3,3,1,3,0,0,575,8.0,0
3,2,1,2,7,0,114,6.0,7
3,2,2,2,4,0,191,9.0,4
3,1,1,2,4,0,55,5.0,4
3,1,0,3,1,0,235,6.0,1
3,2,1,2,4,0,165,6.0,4
3,3,1,2,8,0,260,6.0,8
2,1,1,2,0,0,90,9.0,0
3,0,1,3,3,0,70,10.0,3
3,1,2,4,4,0,585,6.0,4
3,1,1,3,1,0,220,3.0,1
3,1,2,2,1,0,160,6.0,1
3,3,1,3,1,0,400,8.0,1
2,2,1,2,0,0,130,3.0,0
3,3,1,3,3,0,390,9.0,3
2,2,1,2,2,0,89,8.0,2
2,1,1,2,1,0,44,9.0,1
3,2,1,2,1,0,169,4.0,1
3,1,1,2,4,0,265,1.0,4
2,0,1,2,2,0,91,8.0,2
3,0,2,2,2,0,140,4.0,2
3,3,1,2,0,0,235,5.0,0
2,1,1,2,22,0,315,6.0,22
3,0,2,2,0,0,70,8.0,0
2,2,1,2,2,0,68,10.0,2
3,1,1,2,0,0,130,6.0,0
3,3,1,3,0,0,600,9.0,0
3,0,1,3,1,0,400,8.0,1
3,4,2,4,1,0,440,9.0,1
3,2,1,4,4,0,375,6.0,4
3,3,1,3,3,0,399,9.0,3
3,3,1,3,0,0,610,9.0,0
3,0,2,3,4,0,66,7.0,4
3,0,0,2,4,0,150,7.0,4
3,3,1,3,2,0,225,4.0,2
3,2,1,2,9,0,148,2.0,9
3,1,2,2,7,0,160,6.0,7
3,1,1,3,2,0,68,5.0,2
3,2,1,3,1,0,265,5.0,1
2,0,1,2,1,0,27,9.0,4
3,0,2,3,8,0,450,4.0,8
2,1,2,2,3,0,140,5.0,3
3,0,2,3,1,0,390,7.0,1
3,4,1,4,1,0,210,7.0,1
3,1,1,3,12,0,350,6.0,12
2,1,2,2,0,0,155,8.0,0
3,0,1,3,2,0,195,6.0,2
3,2,1,3,1,0,600,10.0,1
3,2,0,2,0,0,107,5.0,0
2,0,2,2,1,0,85,4.0,1
3,0,1,2,2,0,75,4.0,2
3,0,1,3,6,0,210,6.0,6
3,0,1,3,2,0,260,7.0,2
2,0,0,2,1,0,105,6.0,1
3,2,1,3,3,0,250,4.0,3
3,3,2,3,0,0,500,8.0,0
2,1,1,2,1,0,160,6.0,1
2,1,2,2,3,0,140,5.0,3
3,2,2,3,1,0,200,6.0,1
2,0,0,2,2,0,28,8.0,2
3,1,1,2,1,0,60,10.0,1
3,2,1,2,1,0,70,10.0,1
3,1,1,2,1,0,29,6.0,4
3,1,1,2,1,0,42,8.0,1
2,0,2,2,0,0,150,6.0,0
3,0,1,3,1,0,375,8.0,1
3,2,0,3,2,0,225,4.0,2
3,0,1,3,9,0,158,6.0,9
3,2,2,3,1,0,425,9.0,1
3,0,1,2,1,0,87,10.0,1
3,1,1,2,1,0,160,6.0,1
3,0,1,3,6,0,167,3.0,6
3,2,1,3,1,0,146,7.0,1
3,2,2,3,1,0,310,9.0,1
3,2,1,3,1,0,102,10.0,1
2,0,2,2,1,0,61,7.0,1
3,0,2,2,2,0,168,4.0,2
3,0,1,2,3,0,250,5.0,3
3,0,2,2,2,0,78,9.0,2
3,2,2,3,2,0,198,6.0,2
2,0,1,2,2,0,125,6.0,2
3,2,1,2,2,0,70,6.0,2
3,2,1,2,1,0,290,6.0,1
3,3,1,3,1,0,270,4.0,1
2,0,1,2,1,0,175,2.0,1
2,0,1,2,1,0,31,7.0,1
3,2,2,4,1,0,575,8.0,1
3,1,0,2,1,0,96,3.0,1
3,2,1,2,8,0,166,5.0,8
3,2,1,3,0,0,700,8.0,0
3,2,1,2,4,0,188,9.0,4
3,2,0,2,1,0,175,3.0,1
3,1,2,2,8,0,215,6.0,8
2,1,1,2,2,0,35,4.0,2
3,0,1,4,1,0,800,5.0,1
3,2,2,3,2,0,250,7.0,2
3,2,1,3,1,0,390,6.0,1
2,1,1,2,4,0,35,9.0,4
3,0,2,3,2,0,175,4.0,2
3,2,1,3,1,0,375,9.0,1
3,3,1,3,2,0,250,4.0,2
3,1,1,2,1,0,65,8.0,1
3,2,1,3,1,0,95,7.0,1
3,2,1,3,8,0,220,6.0,8
3,2,1,3,8,0,182,3.0,8
3,0,2,3,4,0,158,3.0,4
3,0,1,2,1,0,50,9.0,1
2,3,2,3,1,0,80,5.0,1
3,0,1,4,4,0,350,9.0,4
2,1,1,2,1,0,42,7.0,1
3,2,2,3,0,0,180,3.0,0
2,2,1,2,4,0,112,3.0,4
2,0,1,2,1,0,38,9.0,1
3,2,1,4,1,0,800,6.0,1
3,0,1,3,0,0,235,5.0,0
3,1,0,2,3,0,95,8.0,3
3,1,0,3,1,0,260,5.0,1
2,2,1,2,1,0,110,4.0,1
