Bedrooms,Car parking,Furnishing,Bathrooms,Floor,Status,Price Breakup,Location_Score,Total Floors
3,1,Semi-Furnished,2,1,Ready to Move,67,9.0,1
2,0,Semi-Furnished,2,2,Ready to Move,21,9.0,2
2,1,Semi-Furnished,2,1,Ready to Move,27,9.0,4
3,0,Semi-Furnished,3,1,Ready to Move,250,9.0,4
2,1,Semi-Furnished,2,1,Ready to Move,41,4.0,4
3,1,Semi-Furnished,2,1,Ready to Move,325,4.0,4
2,1,Semi-Furnished,2,1,Ready to Move,210,4.0,4
3,0,Unfurnished,3,1,Ready to Move,310,9.0,4
2,1,Semi-Furnished,2,1,Ready to Move,56,7.0,4
3,2,Furnished,2,15,Ready to Move,210,6.0,15
3,1,Semi-Furnished,3,3,Under Construction,100,7.0,3
2,1,Semi-Furnished,2,1,Under Construction,34,4.0,4
2,0,Furnished,2,1,Ready to Move,24,6.0,4
3,1,Semi-Furnished,3,1,Ready to Move,310,9.0,1
3,2,Semi-Furnished,2,9,Ready to Move,172,9.0,9
3,2,Semi-Furnished,2,2,Ready to Move,158,5.0,2
2,2,Furnished,2,3,Ready to Move,127,5.0,3
2,1,Semi-Furnished,2,24,Ready to Move,245,6.0,24
3,2,Unfurnished,4,0,Ready to Move,400,9.0,0
3,1,Unfurnished,3,40,Ready to Move,350,6.0,40
3,3,Unfurnished,3,2,Ready to Move,600,3.0,2
2,0,Semi-Furnished,2,1,Ready to Move,23,9.0,1
2,1,Semi-Furnished,2,1,Ready to Move,46,2.0,1
3,1,Furnished,2,1,Ready to Move,33,9.0,1
3,2,Unfurnished,4,3,Ready to Move,440,6.0,3
3,0,Semi-Furnished,2,2,Ready to Move,48,9.0,2
2,0,Unfurnished,2,1,Ready to Move,25,9.0,1
3,2,Semi-Furnished,2,1,Ready to Move,110,7.0,1
3,2,Semi-Furnished,3,0,Ready to Move,290,9.0,0
3,1,Furnished,2,2,Ready to Move,165,4.0,2
2,2,Semi-Furnished,2,3,Ready to Move,159,5.0,3
3,4,Semi-Furnished,3,3,Ready to Move,735,10.0,3
3,1,Semi-Furnished,2,1,Ready to Move,64,4.0,1
2,1,Semi-Furnished,2,1,Ready to Move,23,9.0,1
3,3,Semi-Furnished,3,16,Ready to Move,265,9.0,16
3,2,Unfurnished,2,1,Ready to Move,40,5.0,1
3,1,Furnished,2,1,Ready to Move,67,10.0,1
3,2,Semi-Furnished,2,1,Ready to Move,95,7.0,1
3,3,Semi-Furnished,2,1,Ready to Move,235,6.0,4
3,1,Semi-Furnished,2,1,Ready to Move,46,6.0,1
3,0,Furnished,2,5,Ready to Move,295,5.0,5
3,1,Semi-Furnished,2,3,Ready to Move,46,8.0,3
3,2,Semi-Furnished,3,1,Ready to Move,70,8.0,1
2,0,Semi-Furnished,2,4,Ready to Move,94,6.0,4
3,2,Semi-Furnished,4,1,Ready to Move,825,10.0,1
3,0,Unfurnished,2,0,Ready to Move,220,6.0,0
2,1,Unfurnished,2,13,Ready to Move,275,5.0,13
3,0,Semi-Furnished,3,2,Ready to Move,200,6.0,2
3,2,Furnished,2,5,Ready to Move,182,9.0,5
2,0,Semi-Furnished,2,1,Ready to Move,26,9.0,1
3,2,Furnished,2,1,Ready to Move,220,7.0,1
3,2,Furnished,2,1,Ready to Move,60,9.0,1
2,1,Semi-Furnished,2,1,Ready to Move,32,10.0,1
3,1,Semi-Furnished,2,1,Ready to Move,40,8.0,1
3,0,Semi-Furnished,2,1,Ready to Move,85,5.0,1
3,0,Unfurnished,2,2,Ready to Move,70,7.0,2
3,5,Semi-Furnished,4,3,Ready to Move,505,8.0,3
3,3,Semi-Furnished,3,8,Ready to Move,160,5.0,8
2,1,Semi-Furnished,2,0,Ready to Move,140,6.0,0
3,2,Semi-Furnished,3,2,Ready to Move,155,3.0,2
3,3,Semi-Furnished,3,4,Ready to Move,275,4.0,4
3,2,Unfurnished,3,10,Ready to Move,160,4.0,10
3,3,Semi-Furnished,3,0,Ready to Move,575,8.0,0
3,2,Semi-Furnished,2,7,Ready to Move,114,6.0,7
3,2,Unfurnished,2,4,Ready to Move,191,9.0,4
3,1,Semi-Furnished,2,4,Ready to Move,55,5.0,4
3,1,Furnished,3,1,Ready to Move,235,6.0,1
3,2,Semi-Furnished,2,4,Ready to Move,165,6.0,4
3,3,Semi-Furnished,2,8,Ready to Move,260,6.0,8
2,1,Semi-Furnished,2,0,Ready to Move,90,9.0,0
3,0,Semi-Furnished,3,3,Ready to Move,70,10.0,3
3,1,Unfurnished,4,4,Ready to Move,585,6.0,4
3,1,Semi-Furnished,3,1,Ready to Move,220,3.0,1
3,1,Unfurnished,2,1,Ready to Move,160,6.0,1
3,3,Semi-Furnished,3,1,Ready to Move,400,8.0,1
2,2,Semi-Furnished,2,0,Ready to Move,130,3.0,0
3,3,Semi-Furnished,3,3,Ready to Move,390,9.0,3
2,2,Semi-Furnished,2,2,Ready to Move,89,8.0,2
2,1,Semi-Furnished,2,1,Ready to Move,44,9.0,1
3,2,Semi-Furnished,2,1,Ready to Move,169,4.0,1
3,1,Semi-Furnished,2,4,Ready to Move,265,1.0,4
2,0,Semi-Furnished,2,2,Ready to Move,91,8.0,2
3,0,Unfurnished,2,2,Ready to Move,140,4.0,2
3,3,Semi-Furnished,2,0,Ready to Move,235,5.0,0
2,1,Semi-Furnished,2,22,Ready to Move,315,6.0,22
3,0,Unfurnished,2,0,Ready to Move,70,8.0,0
2,2,Semi-Furnished,2,2,Ready to Move,68,10.0,2
3,1,Semi-Furnished,2,0,Ready to Move,130,6.0,0
3,3,Semi-Furnished,3,0,Ready to Move,600,9.0,0
3,0,Semi-Furnished,3,1,Ready to Move,400,8.0,1
3,4,Unfurnished,4,1,Ready to Move,440,9.0,1
3,2,Semi-Furnished,4,4,Ready to Move,375,6.0,4
3,3,Semi-Furnished,3,3,Ready to Move,399,9.0,3
3,3,Semi-Furnished,3,0,Ready to Move,610,9.0,0
3,0,Unfurnished,3,4,Ready to Move,66,7.0,4
3,0,Furnished,2,4,Ready to Move,150,7.0,4
3,3,Semi-Furnished,3,2,Ready to Move,225,4.0,2
3,2,Semi-Furnished,2,9,Ready to Move,148,2.0,9
3,1,Unfurnished,2,7,Ready to Move,160,6.0,7
3,1,Semi-Furnished,3,2,Ready to Move,68,5.0,2
3,2,Semi-Furnished,3,1,Ready to Move,265,5.0,1
2,0,Semi-Furnished,2,1,Ready to Move,27,9.0,4
3,0,Unfurnished,3,8,Ready to Move,450,4.0,8
2,1,Unfurnished,2,3,Ready to Move,140,5.0,3
3,0,Unfurnished,3,1,Ready to Move,390,7.0,1
3,4,Semi-Furnished,4,1,Ready to Move,210,7.0,1
3,1,Semi-Furnished,3,12,Ready to Move,350,6.0,12
2,1,Unfurnished,2,0,Ready to Move,155,8.0,0
3,0,Semi-Furnished,3,2,Ready to Move,195,6.0,2
3,2,Semi-Furnished,3,1,Ready to Move,600,10.0,1
3,2,Furnished,2,0,Ready to Move,107,5.0,0
2,0,Unfurnished,2,1,Ready to Move,85,4.0,1
3,0,Semi-Furnished,2,2,Ready to Move,75,4.0,2
3,0,Semi-Furnished,3,6,Ready to Move,210,6.0,6
3,0,Semi-Furnished,3,2,Ready to Move,260,7.0,2
2,0,Furnished,2,1,Ready to Move,105,6.0,1
3,2,Semi-Furnished,3,3,Ready to Move,250,4.0,3
3,3,Unfurnished,3,0,Ready to Move,500,8.0,0
2,1,Semi-Furnished,2,1,Ready to Move,160,6.0,1
2,1,Unfurnished,2,3,Ready to Move,140,5.0,3
3,2,Unfurnished,3,1,Ready to Move,200,6.0,1
2,0,Furnished,2,2,Ready to Move,28,8.0,2
3,1,Semi-Furnished,2,1,Ready to Move,60,10.0,1
3,2,Semi-Furnished,2,1,Ready to Move,70,10.0,1
3,1,Semi-Furnished,2,1,Ready to Move,29,6.0,4
3,1,Semi-Furnished,2,1,Ready to Move,42,8.0,1
2,0,Unfurnished,2,0,Ready to Move,150,6.0,0
3,0,Semi-Furnished,3,1,Ready to Move,375,8.0,1
3,2,Furnished,3,2,Ready to Move,225,4.0,2
3,0,Semi-Furnished,3,9,Ready to Move,158,6.0,9
3,2,Unfurnished,3,1,Ready to Move,425,9.0,1
3,0,Semi-Furnished,2,1,Ready to Move,87,10.0,1
3,1,Semi-Furnished,2,1,Ready to Move,160,6.0,1
3,0,Semi-Furnished,3,6,Ready to Move,167,3.0,6
3,2,Semi-Furnished,3,1,Ready to Move,146,7.0,1
3,2,Unfurnished,3,1,Ready to Move,310,9.0,1
3,2,Semi-Furnished,3,1,Ready to Move,102,10.0,1
2,0,Unfurnished,2,1,Ready to Move,61,7.0,1
3,0,Unfurnished,2,2,Ready to Move,168,4.0,2
3,0,Semi-Furnished,2,3,Ready to Move,250,5.0,3
3,0,Unfurnished,2,2,Ready to Move,78,9.0,2
3,2,Unfurnished,3,2,Ready to Move,198,6.0,2
2,0,Semi-Furnished,2,2,Ready to Move,125,6.0,2
3,2,Semi-Furnished,2,2,Ready to Move,70,6.0,2
